Tick,Total Creatures,Speed_SS,Speed_Ss,Speed_ss,Vision_VV,Vision_Vv,Vision_vv,Beauty_AA,Beauty_Aa,Beauty_aa,Violence_KK,Violence_Kk,Violence_kk
9220,172,48,74,50,5,41,126,43,76,53,1,23,148
9240,172,51,69,52,6,41,125,44,73,55,1,25,146
9260,176,49,70,57,6,44,126,45,76,55,1,24,151
9280,186,49,77,60,6,43,137,46,84,56,1,29,156
9300,195,56,76,63,6,45,144,54,85,56,1,31,163
9320,200,58,81,61,6,44,150,56,84,60,1,31,168
9340,201,58,81,62,8,50,143,52,93,56,1,32,168
9360,199,59,78,62,8,49,142,51,90,58,1,29,169
9380,205,60,84,61,6,49,150,54,90,61,1,29,175
9400,203,59,82,62,6,51,146,57,87,59,1,27,175
9420,198,57,78,63,6,49,143,57,82,59,0,24,174
9440,191,55,72,64,8,45,138,56,79,56,0,22,169
9460,185,54,72,59,7,44,134,55,78,52,0,21,164
9480,183,51,73,59,7,43,133,54,79,50,0,19,164
9500,185,51,78,56,8,46,131,61,76,48,1,20,164
9520,189,50,82,57,8,50,131,62,79,48,1,22,166
9540,178,47,76,55,8,48,122,55,72,51,1,23,154
9560,182,46,84,52,9,50,123,55,70,57,1,23,158
9580,183,46,85,52,8,46,129,54,70,59,1,24,158
9600,185,47,89,49,8,46,131,58,68,59,1,25,159
9620,186,50,86,50,9,48,129,57,68,61,1,27,158
9640,182,54,80,48,9,46,127,54,69,59,1,25,156
9660,177,53,77,47,8,44,125,52,69,56,1,25,151
9680,168,50,70,48,10,43,115,50,62,56,1,27,140
9700,163,49,68,46,9,43,111,46,64,53,1,27,135
9720,166,47,73,46,10,44,112,49,64,53,1,30,135
9740,162,47,68,47,12,42,108,46,63,53,2,30,130
9760,161,46,68,47,9,46,106,45,63,53,1,30,130
9780,165,49,68,48,9,43,113,43,66,56,1,30,134
9800,178,55,74,49,11,45,122,47,69,62,1,31,146
9820,182,58,76,48,12,43,127,47,67,68,1,34,147
9840,179,58,76,45,11,43,125,46,66,67,1,32,146
9860,175,57,74,44,11,41,123,48,62,65,1,31,143
9880,173,56,72,45,11,41,121,48,59,66,1,30,142
9900,172,52,74,46,12,39,121,47,63,62,1,30,141
9920,167,49,74,44,13,39,115,44,65,58,1,30,136
9940,162,45,74,43,12,40,110,41,66,55,1,27,134
9960,158,41,72,45,12,37,109,39,66,53,1,23,134
9980,158,40,73,45,11,39,108,39,68,51,1,21,136
10000,162,40,73,49,10,37,115,44,71,47,1,22,139
10020,170,47,73,50,11,37,122,50,75,45,1,26,143
10040,167,45,71,51,11,40,116,51,74,42,1,24,142
10060,166,46,74,46,10,44,112,46,79,41,1,24,141
10080,164,47,71,46,8,45,111,45,79,40,1,24,139
10100,172,49,71,52,9,47,116,46,86,40,1,24,147
